ID,연도,성별,연령,학력,혼인상태,거주지역,직업,주업,직장지위,주5일근무제실시여부,차량보유여부,개인소득,소득분위,관광휴양여부,여행유형,월,계절,여행일수(박),여행총경비,지출비용포함인원수,1인지출비용,개인휴가사용여부,지역코드,시,숙박시설,여행활동1,여행활동2,여행활동3,여행활동4,여행활동5,주요이동교통수단,여행지선택이유_1순위,여행지선택이유_2순위,만족도_자연경관,만족도_문화유산,만족도_교통,만족도_식당및음식,만족도_쇼핑,만족도_관광정보및안내시설,만족도_관광지편의시설,만족도_지역관광종사자의친절성,만족도_체험프로그램,만족도_관광지물가,만족도_관광지혼잡도,전반적만족도,재방문의도,타인추천의도,총만족도
1,2021,1,5,4,2,1,3,3,3,1,1,5,4,Y,4,10,3,0,160000,4,40000,0,9,경기도,0,Y,Y,N,N,N,1,12,14,5,4,4,4,4,5,4,4,4,4,4,4,4,4,만족
2,2021,1,5,4,4,1,3,4,3,2,1,4,3,Y,4,1,4,0,73002,3,24334,0,4,인천광역시,0,Y,Y,N,N,N,1,4,14,4,4,3,3,4,4,4,4,3,4,4,4,4,4,만족
3,2021,1,4,4,2,1,1,3,1,1,1,4,2,Y,4,1,4,0,58000,1,58000,0,10,강원도,0,N,Y,N,N,Y,1,10,4,4,5,4,4,9,4,4,4,4,4,4,4,4,4,만족
4,2021,1,5,4,2,1,1,3,1,1,1,4,4,Y,4,6,2,0,60000,1,60000,0,9,경기도,0,N,N,N,N,Y,1,15,0,9,9,4,4,9,9,9,9,9,9,9,3,3,3,보통
5,2021,2,3,4,1,1,1,3,1,1,1,3,4,N,2,5,1,0,45000,1,45000,0,10,강원도,0,Y,Y,N,N,N,1,4,2,4,4,3,4,3,4,3,3,9,3,4,4,4,4,만족
6,2021,1,3,4,1,1,1,3,1,1,1,4,3,N,5,4,1,0,80001,3,26667,0,9,경기도,0,Y,Y,N,N,N,1,4,2,4,4,3,4,4,3,4,3,9,3,3,4,4,4,만족
7,2021,1,4,4,2,1,1,2,1,1,1,4,3,Y,4,1,4,0,40000,1,40000,0,9,경기도,0,Y,N,N,N,N,1,5,4,4,4,3,4,9,4,4,3,9,4,3,4,4,3,만족
8,2021,2,4,4,2,1,1,2,1,1,1,4,4,Y,4,11,3,5,1000002,6,166667,0,3,대구광역시,0,Y,N,N,Y,N,1,15,0,5,5,4,4,4,5,4,4,9,3,4,5,5,5,매우만족
9,2021,2,2,4,1,1,1,3,1,1,1,3,4,Y,4,6,2,0,150000,3,50000,0,10,강원도,0,Y,N,N,N,N,1,11,5,5,4,4,5,9,5,5,5,9,4,4,4,4,4,만족
10,2021,1,5,4,2,1,2,4,2,2,1,5,3,Y,4,1,4,0,50000,1,50000,0,12,충청남도,0,Y,Y,N,N,Y,1,15,2,5,9,4,4,4,4,4,9,9,4,4,4,4,4,만족
11,2021,1,3,4,1,1,3,4,3,2,1,4,3,Y,1,4,1,2,505834,1,505834,0,17,제주특별자치도,4,Y,Y,Y,N,N,8,2,1,5,4,4,4,4,4,5,4,4,3,4,4,4,4,만족
12,2021,1,4,4,2,1,1,3,1,1,1,5,3,N,1,5,1,0,15000,1,15000,0,9,경기도,0,Y,N,N,N,N,1,1,2,5,9,5,4,9,5,5,4,9,4,4,4,4,4,만족
13,2021,1,3,4,1,1,1,3,1,1,1,4,3,N,1,9,3,0,49998,3,16666,0,9,경기도,0,Y,N,N,N,N,1,2,4,5,5,4,4,9,4,5,4,9,4,4,4,3,3,만족
14,2021,1,5,4,2,1,2,4,2,1,1,5,4,N,1,12,4,0,50000,2,25000,0,13,전라북도,0,Y,N,N,N,N,1,1,2,5,4,4,4,9,5,5,5,9,5,4,4,4,4,만족
15,2021,1,3,4,2,1,1,3,1,1,1,4,3,Y,4,12,4,0,75000,1,75000,0,12,충청남도,0,N,N,N,N,N,1,9,4,9,3,4,4,3,4,4,4,4,3,3,4,3,4,만족
16,2021,1,5,3,2,1,3,6,3,1,1,4,3,Y,4,8,2,0,58000,1,58000,0,12,충청남도,0,N,N,N,N,N,1,3,9,4,3,3,4,4,3,3,4,4,4,3,4,4,4,만족
17,2021,2,4,4,2,1,1,3,1,1,1,4,4,Y,4,4,1,1,159000,1,159000,0,13,전라북도,8,Y,Y,N,Y,N,1,1,8,5,4,4,4,9,5,4,4,9,3,4,5,4,4,매우만족
18,2021,1,4,4,2,1,1,3,1,1,1,5,3,Y,4,8,2,2,725000,4,181250,0,2,부산광역시,1,Y,Y,N,N,N,10,14,3,5,9,4,5,4,5,4,4,9,4,4,5,4,4,매우만족
19,2021,1,4,4,2,1,1,3,1,1,2,3,3,Y,4,9,3,0,50001,3,16667,0,9,경기도,0,Y,Y,N,N,N,6,15,0,4,9,5,4,4,4,4,5,9,3,4,4,4,5,매우만족
20,2021,1,4,4,2,1,1,3,1,1,1,4,2,Y,4,12,4,1,600000,2,300000,0,17,제주특별자치도,1,N,Y,N,N,N,1,2,4,4,5,4,4,5,4,3,5,9,5,5,4,4,4,만족
21,2021,1,4,4,2,1,1,3,1,1,1,4,3,Y,4,1,4,0,177003,3,59001,0,9,경기도,0,Y,Y,N,N,N,1,2,5,5,9,4,5,9,4,4,5,9,3,5,4,4,3,만족
22,2021,1,4,4,2,1,2,1,2,1,1,7,5,N,5,3,1,3,800000,1,800000,0,7,울산광역시,7,Y,Y,Y,N,N,1,5,4,4,9,3,5,9,5,5,5,4,4,3,5,4,4,매우만족
23,2021,1,5,3,2,1,1,3,1,1,1,5,4,N,5,12,4,2,500000,1,500000,0,6,대전광역시,5,N,N,Y,N,N,6,5,1,5,9,4,4,9,4,3,9,5,4,4,4,4,4,만족
24,2021,1,5,3,2,1,1,8,1,2,1,4,3,N,1,1,4,0,90000,2,45000,0,4,인천광역시,0,Y,Y,N,Y,N,1,5,2,4,4,2,3,3,4,4,3,9,2,3,3,3,3,보통
25,2021,1,6,3,2,1,1,4,1,1,1,5,4,N,1,8,2,0,35000,1,35000,0,9,경기도,0,N,N,Y,N,N,1,4,0,5,9,4,9,9,3,3,9,4,9,5,4,4,4,만족
26,2021,1,6,3,2,1,3,8,3,2,1,6,4,N,5,9,3,0,200000,2,100000,0,11,충청북도,0,Y,Y,Y,N,N,1,5,8,5,4,3,5,3,5,4,4,5,3,3,4,4,4,만족
27,2021,1,4,4,2,1,3,5,3,1,1,6,4,Y,4,9,3,0,30000,1,30000,0,4,인천광역시,0,Y,Y,N,Y,N,1,1,5,4,4,2,5,9,4,4,4,9,4,3,4,4,4,만족
28,2021,1,3,4,1,1,1,3,1,1,1,4,4,N,1,10,3,2,420000,2,210000,0,10,강원도,6,Y,Y,Y,Y,N,1,3,8,4,3,3,4,9,4,4,3,4,3,3,4,4,4,만족
29,2021,1,5,4,2,1,2,4,2,1,1,7,5,N,1,10,3,0,950000,4,237500,0,9,경기도,0,N,Y,Y,N,N,1,4,1,4,9,4,3,9,4,4,4,4,3,4,4,4,4,만족
30,2021,2,3,4,1,1,1,3,1,1,1,5,4,N,5,5,1,0,30000,1,30000,0,9,경기도,0,Y,Y,Y,Y,N,6,8,2,5,5,3,4,3,4,4,3,4,3,3,5,4,4,매우만족
31,2021,1,6,3,2,1,3,8,3,2,1,4,3,N,1,5,1,0,30000,1,30000,0,9,경기도,0,Y,N,N,N,N,6,1,3,5,4,4,4,9,4,4,9,4,4,4,4,4,4,만족
32,2021,1,3,4,1,1,1,3,1,1,1,4,4,N,1,5,1,2,200000,1,200000,1,10,강원도,4,Y,Y,N,N,N,1,4,6,5,9,3,4,9,4,5,4,9,3,4,4,4,4,만족
33,2021,1,4,4,2,1,1,2,1,1,1,7,4,N,1,11,3,1,1600000,4,400000,1,10,강원도,4,Y,N,Y,N,N,1,12,6,4,9,4,3,9,4,4,4,4,3,4,4,4,4,만족
